ATR_Multiplier,RR_Ratio,Threshold,total_trades,win_rate,expectancy_r,profit_factor,max_drawdown_r,max_drawdown_percent,sharpe_ratio
1.0,1.0,60,45,48.89,-0.022,0.957,9.0,9.0,-0.022
1.0,1.0,65,33,57.58,0.152,1.357,5.0,5.0,0.151
1.0,1.0,70,22,45.45,-0.091,0.833,7.0,7.0,-0.089
1.0,1.0,75,12,25.0,-0.5,0.333,6.0,6.0,-0.553
1.0,1.0,80,10,20.0,-0.6,0.25,5.0,5.0,-0.712
1.0,1.0,85,8,37.5,-0.25,0.6,2.0,2.0,-0.242
1.0,1.0,90,5,40.0,-0.2,0.667,1.0,1.0,-0.183
1.0,1.5,60,45,44.44,0.111,1.2,11.5,11.5,0.088
1.0,1.5,65,33,48.48,0.212,1.412,7.5,7.5,0.167
1.0,1.5,70,22,31.82,-0.205,0.7,10.5,10.5,-0.172
1.0,1.5,75,12,16.67,-0.583,0.3,6.0,6.0,-0.599
1.0,1.5,80,10,20.0,-0.5,0.375,4.5,4.5,-0.474
1.0,1.5,85,8,37.5,-0.062,0.9,2.0,2.0,-0.048
1.0,1.5,90,5,40.0,0.0,1.0,1.0,1.0,0.0
1.0,2.0,60,45,42.22,0.267,1.462,10.0,10.0,0.178
1.0,2.0,65,33,45.45,0.364,1.667,6.0,6.0,0.24
1.0,2.0,70,22,31.82,-0.045,0.933,10.0,10.0,-0.032
1.0,2.0,75,12,16.67,-0.5,0.4,6.0,6.0,-0.428
1.0,2.0,80,10,20.0,-0.4,0.5,4.0,4.0,-0.316
1.0,2.0,85,8,37.5,0.125,1.2,2.0,2.0,0.081
1.0,2.0,90,5,40.0,0.2,1.333,1.0,1.0,0.122
1.0,2.5,60,45,37.78,0.322,1.518,8.5,8.5,0.188
1.0,2.5,65,33,42.42,0.485,1.842,4.5,4.5,0.276
1.0,2.5,70,22,31.82,0.114,1.167,9.5,9.5,0.068
1.0,2.5,75,12,16.67,-0.417,0.5,6.0,6.0,-0.306
1.0,2.5,80,10,20.0,-0.3,0.625,4.0,4.0,-0.203
1.0,2.5,85,8,37.5,0.312,1.5,2.0,2.0,0.173
1.0,2.5,90,5,40.0,0.4,1.667,1.0,1.0,0.209
1.0,3.0,60,45,33.33,0.333,1.5,8.0,8.0,0.175
1.0,3.0,65,33,39.39,0.576,1.95,4.0,4.0,0.29
1.0,3.0,70,22,27.27,0.091,1.125,9.0,9.0,0.05
1.0,3.0,75,12,16.67,-0.333,0.6,6.0,6.0,-0.214
1.0,3.0,80,10,20.0,-0.2,0.75,4.0,4.0,-0.119
1.0,3.0,85,8,37.5,0.5,1.8,2.0,2.0,0.242
1.0,3.0,90,5,40.0,0.6,2.0,1.0,1.0,0.274
1.2,1.0,60,41,53.66,0.073,1.158,5.0,5.0,0.072
1.2,1.0,65,30,60.0,0.2,1.5,4.0,4.0,0.201
1.2,1.0,70,20,50.0,0.0,1.0,4.0,4.0,0.0
1.2,1.0,75,12,33.33,-0.333,0.5,4.0,4.0,-0.339
1.2,1.0,80,10,30.0,-0.4,0.429,3.0,3.0,-0.414
1.2,1.0,85,8,50.0,0.0,1.0,1.0,1.0,0.0
1.2,1.0,90,5,40.0,-0.2,0.667,1.0,1.0,-0.183
1.2,1.5,60,40,50.0,0.25,1.5,6.0,6.0,0.197
1.2,1.5,65,29,51.72,0.293,1.607,5.5,5.5,0.231
1.2,1.5,70,19,31.58,-0.211,0.692,8.5,8.5,-0.176
1.2,1.5,75,12,25.0,-0.375,0.5,4.0,4.0,-0.332
1.2,1.5,80,10,30.0,-0.25,0.643,2.0,2.0,-0.207
1.2,1.5,85,8,50.0,0.25,1.5,1.0,1.0,0.187
1.2,1.5,90,5,40.0,0.0,1.0,1.0,1.0,0.0
1.2,2.0,60,40,42.5,0.275,1.478,4.0,4.0,0.183
1.2,2.0,65,29,48.28,0.448,1.867,4.0,4.0,0.294
1.2,2.0,70,19,31.58,-0.053,0.923,8.0,8.0,-0.037
1.2,2.0,75,12,25.0,-0.25,0.667,4.0,4.0,-0.184
1.2,2.0,80,10,30.0,-0.1,0.857,2.0,2.0,-0.069
1.2,2.0,85,8,50.0,0.5,2.0,1.0,1.0,0.312
1.2,2.0,90,5,40.0,0.2,1.333,1.0,1.0,0.122
1.2,2.5,60,40,37.5,0.312,1.5,4.0,4.0,0.182
1.2,2.5,65,29,44.83,0.569,2.031,4.0,4.0,0.321
1.2,2.5,70,19,26.32,-0.079,0.893,7.5,7.5,-0.05
1.2,2.5,75,12,25.0,-0.125,0.833,4.0,4.0,-0.079
1.2,2.5,80,10,30.0,0.05,1.071,2.0,2.0,0.03
1.2,2.5,85,8,50.0,0.75,2.5,1.0,1.0,0.401
1.2,2.5,90,5,40.0,0.4,1.667,1.0,1.0,0.209
1.2,3.0,60,40,30.0,0.2,1.286,6.0,6.0,0.108
1.2,3.0,65,29,37.93,0.517,1.833,4.0,4.0,0.262
1.2,3.0,70,19,26.32,0.053,1.071,7.0,7.0,0.029
1.2,3.0,75,12,25.0,0.0,1.0,4.0,4.0,0.0
1.2,3.0,80,10,30.0,0.2,1.286,2.0,2.0,0.104
1.2,3.0,85,8,50.0,1.0,3.0,1.0,1.0,0.468
1.2,3.0,90,5,40.0,0.6,2.0,1.0,1.0,0.274
1.5,1.0,60,40,62.5,0.25,1.667,4.0,4.0,0.255
1.5,1.0,65,29,55.17,0.103,1.231,5.0,5.0,0.102
1.5,1.0,70,19,36.84,-0.263,0.583,7.0,7.0,-0.265
1.5,1.0,75,12,25.0,-0.5,0.333,5.0,5.0,-0.553
1.5,1.0,80,10,30.0,-0.4,0.429,3.0,3.0,-0.414
1.5,1.0,85,8,50.0,0.0,1.0,1.0,1.0,0.0
1.5,1.0,90,5,40.0,-0.2,0.667,1.0,1.0,-0.183
1.5,1.5,60,40,57.5,0.438,2.029,3.0,3.0,0.35
1.5,1.5,65,29,51.72,0.293,1.607,3.0,3.0,0.231
1.5,1.5,70,19,36.84,-0.079,0.875,6.0,6.0,-0.064
1.5,1.5,75,12,25.0,-0.375,0.5,4.0,4.0,-0.332
1.5,1.5,80,10,30.0,-0.25,0.643,2.0,2.0,-0.207
1.5,1.5,85,8,50.0,0.25,1.5,1.0,1.0,0.187
1.5,1.5,90,5,40.0,0.0,1.0,1.0,1.0,0.0
1.5,2.0,60,40,50.0,0.5,2.0,3.0,3.0,0.329
1.5,2.0,65,29,48.28,0.448,1.867,3.0,3.0,0.294
1.5,2.0,70,19,31.58,-0.053,0.923,5.0,5.0,-0.037
1.5,2.0,75,12,25.0,-0.25,0.667,4.0,4.0,-0.184
1.5,2.0,80,10,30.0,-0.1,0.857,2.0,2.0,-0.069
1.5,2.0,85,8,50.0,0.5,2.0,1.0,1.0,0.312
1.5,2.0,90,5,40.0,0.2,1.333,1.0,1.0,0.122
1.5,2.5,60,40,40.0,0.4,1.667,4.0,4.0,0.23
1.5,2.5,65,29,41.38,0.448,1.765,4.0,4.0,0.256
1.5,2.5,70,19,31.58,0.105,1.154,4.5,4.5,0.063
1.5,2.5,75,12,25.0,-0.125,0.833,4.0,4.0,-0.079
1.5,2.5,80,10,30.0,0.05,1.071,2.0,2.0,0.03
1.5,2.5,85,8,50.0,0.75,2.5,1.0,1.0,0.401
1.5,2.5,90,5,40.0,0.4,1.667,1.0,1.0,0.209
1.5,3.0,60,40,37.5,0.5,1.8,5.0,5.0,0.255
1.5,3.0,65,29,37.93,0.517,1.833,6.0,6.0,0.262
1.5,3.0,70,19,26.32,0.053,1.071,7.0,7.0,0.029
1.5,3.0,75,12,16.67,-0.333,0.6,4.0,4.0,-0.214
1.5,3.0,80,10,20.0,-0.2,0.75,4.0,4.0,-0.119
1.5,3.0,85,8,37.5,0.5,1.8,3.0,3.0,0.242
1.5,3.0,90,5,20.0,-0.2,0.75,2.0,2.0,-0.112
2.0,1.0,60,37,59.46,0.189,1.467,5.0,5.0,0.19
2.0,1.0,65,27,55.56,0.111,1.25,4.0,4.0,0.11
2.0,1.0,70,18,38.89,-0.222,0.636,6.0,6.0,-0.221
2.0,1.0,75,11,27.27,-0.455,0.375,4.0,4.0,-0.487
2.0,1.0,80,10,40.0,-0.2,0.667,2.0,2.0,-0.194
2.0,1.0,85,8,50.0,0.0,1.0,1.0,1.0,0.0
2.0,1.0,90,5,60.0,0.2,1.5,1.0,1.0,0.183
2.0,1.5,60,37,45.95,0.149,1.275,3.0,3.0,0.118
2.0,1.5,65,27,48.15,0.204,1.393,3.0,3.0,0.16
2.0,1.5,70,18,33.33,-0.167,0.75,5.5,5.5,-0.137
2.0,1.5,75,11,27.27,-0.318,0.562,3.0,3.0,-0.272
2.0,1.5,80,10,40.0,0.0,1.0,2.0,2.0,0.0
2.0,1.5,85,8,50.0,0.25,1.5,1.0,1.0,0.187
2.0,1.5,90,5,60.0,0.5,2.25,1.0,1.0,0.365
2.0,2.0,60,37,35.14,0.054,1.083,5.0,5.0,0.037
2.0,2.0,65,27,40.74,0.222,1.375,5.0,5.0,0.148
2.0,2.0,70,18,33.33,0.0,1.0,4.0,4.0,0.0
2.0,2.0,75,11,27.27,-0.182,0.75,2.0,2.0,-0.13
2.0,2.0,80,10,40.0,0.2,1.333,2.0,2.0,0.129
2.0,2.0,85,8,50.0,0.5,2.0,1.0,1.0,0.312
2.0,2.0,90,5,60.0,0.8,3.0,1.0,1.0,0.487
2.0,2.5,60,37,29.73,0.041,1.058,6.0,6.0,0.025
2.0,2.5,65,27,37.04,0.296,1.471,6.0,6.0,0.172
2.0,2.5,70,18,27.78,-0.028,0.962,6.5,6.5,-0.017
2.0,2.5,75,11,18.18,-0.364,0.556,5.0,5.0,-0.257
2.0,2.5,80,10,30.0,0.05,1.071,4.0,4.0,0.03
2.0,2.5,85,8,37.5,0.312,1.5,3.0,3.0,0.173
2.0,2.5,90,5,40.0,0.4,1.667,2.0,2.0,0.209
2.0,3.0,60,36,22.22,-0.111,0.857,14.0,14.0,-0.066
2.0,3.0,65,27,25.93,0.037,1.05,11.0,11.0,0.021
2.0,3.0,70,18,22.22,-0.111,0.857,10.0,10.0,-0.065
2.0,3.0,75,11,9.09,-0.636,0.3,8.0,8.0,-0.528
2.0,3.0,80,10,20.0,-0.2,0.75,6.0,6.0,-0.119
2.0,3.0,85,8,25.0,0.0,1.0,3.0,3.0,0.0
2.0,3.0,90,5,20.0,-0.2,0.75,2.0,2.0,-0.112
2.5,1.0,60,37,64.86,0.297,1.846,3.0,3.0,0.307
2.5,1.0,65,27,59.26,0.185,1.455,3.0,3.0,0.185
2.5,1.0,70,18,55.56,0.111,1.25,3.0,3.0,0.109
2.5,1.0,75,10,40.0,-0.2,0.667,3.0,3.0,-0.194
2.5,1.0,80,9,55.56,0.111,1.25,1.0,1.0,0.105
2.5,1.0,85,8,62.5,0.25,1.667,1.0,1.0,0.242
2.5,1.0,90,5,80.0,0.6,4.0,1.0,1.0,0.671
2.5,1.5,60,37,43.24,0.081,1.143,5.0,5.0,0.065
2.5,1.5,65,27,48.15,0.204,1.393,5.0,5.0,0.16
2.5,1.5,70,18,44.44,0.111,1.2,3.0,3.0,0.087
2.5,1.5,75,10,40.0,0.0,1.0,2.5,2.5,0.0
2.5,1.5,80,9,55.56,0.389,1.875,1.0,1.0,0.295
2.5,1.5,85,8,62.5,0.562,2.5,1.0,1.0,0.435
2.5,1.5,90,5,80.0,1.0,6.0,1.0,1.0,0.894
2.5,2.0,60,37,37.84,0.135,1.217,6.0,6.0,0.092
2.5,2.0,65,27,44.44,0.333,1.6,5.0,5.0,0.219
2.5,2.0,70,18,38.89,0.167,1.273,4.0,4.0,0.111
2.5,2.0,75,10,30.0,-0.1,0.857,5.0,5.0,-0.069
2.5,2.0,80,9,44.44,0.333,1.6,3.0,3.0,0.211
2.5,2.0,85,8,50.0,0.5,2.0,3.0,3.0,0.312
2.5,2.0,90,5,60.0,0.8,3.0,2.0,2.0,0.487
2.5,2.5,60,36,27.78,-0.028,0.962,10.5,10.5,-0.017
2.5,2.5,65,27,29.63,0.037,1.053,7.5,7.5,0.023
2.5,2.5,70,18,27.78,-0.028,0.962,6.5,6.5,-0.017
2.5,2.5,75,10,10.0,-0.65,0.278,8.0,8.0,-0.587
2.5,2.5,80,9,22.22,-0.222,0.714,3.5,3.5,-0.144
2.5,2.5,85,8,12.5,-0.562,0.357,3.5,3.5,-0.455
2.5,2.5,90,5,20.0,-0.3,0.625,2.0,2.0,-0.192
2.5,3.0,60,36,25.0,0.0,1.0,14.0,14.0,0.0
2.5,3.0,65,27,22.22,-0.111,0.857,11.0,11.0,-0.066
2.5,3.0,70,18,16.67,-0.333,0.6,13.0,13.0,-0.217
2.5,3.0,75,10,0.0,-1.0,0.0,9.0,9.0,0.0
2.5,3.0,80,9,0.0,-1.0,0.0,8.0,8.0,0.0
2.5,3.0,85,8,0.0,-1.0,0.0,7.0,7.0,0.0
2.5,3.0,90,5,0.0,-1.0,0.0,4.0,4.0,0.0
3.0,1.0,60,35,51.43,0.029,1.059,3.0,3.0,0.028
3.0,1.0,65,25,52.0,0.04,1.083,3.0,3.0,0.039
3.0,1.0,70,16,43.75,-0.125,0.778,5.0,5.0,-0.122
3.0,1.0,75,10,40.0,-0.2,0.667,3.0,3.0,-0.194
3.0,1.0,80,9,55.56,0.111,1.25,1.0,1.0,0.105
3.0,1.0,85,8,62.5,0.25,1.667,1.0,1.0,0.242
3.0,1.0,90,5,80.0,0.6,4.0,1.0,1.0,0.671
3.0,1.5,60,35,40.0,0.0,1.0,5.5,5.5,0.0
3.0,1.5,65,25,44.0,0.1,1.179,5.0,5.0,0.079
3.0,1.5,70,16,31.25,-0.219,0.682,7.0,7.0,-0.183
3.0,1.5,75,10,30.0,-0.25,0.643,5.0,5.0,-0.207
3.0,1.5,80,9,44.44,0.111,1.2,3.0,3.0,0.084
3.0,1.5,85,8,50.0,0.25,1.5,3.0,3.0,0.187
3.0,1.5,90,5,60.0,0.5,2.25,2.0,2.0,0.365
3.0,2.0,60,35,25.71,-0.229,0.692,13.0,13.0,-0.172
3.0,2.0,65,25,28.0,-0.16,0.778,10.0,10.0,-0.116
3.0,2.0,70,16,18.75,-0.438,0.462,9.0,9.0,-0.362
3.0,2.0,75,10,10.0,-0.7,0.222,8.0,8.0,-0.738
3.0,2.0,80,9,33.33,0.0,1.0,3.0,3.0,0.0
3.0,2.0,85,8,25.0,-0.25,0.667,3.0,3.0,-0.18
3.0,2.0,90,5,20.0,-0.4,0.5,2.0,2.0,-0.298
3.0,2.5,60,35,25.71,-0.1,0.865,13.0,13.0,-0.064
3.0,2.5,65,25,24.0,-0.16,0.789,10.5,10.5,-0.105
3.0,2.5,70,16,12.5,-0.562,0.357,12.0,12.0,-0.471
3.0,2.5,75,10,0.0,-1.0,0.0,9.0,9.0,0.0
3.0,2.5,80,9,11.11,-0.611,0.312,6.0,6.0,-0.524
3.0,2.5,85,8,25.0,-0.125,0.833,3.0,3.0,-0.077
3.0,2.5,90,5,20.0,-0.3,0.625,2.0,2.0,-0.192
3.0,3.0,60,34,20.59,-0.176,0.778,15.0,15.0,-0.107
3.0,3.0,65,25,20.0,-0.2,0.75,12.0,12.0,-0.122
3.0,3.0,70,16,12.5,-0.5,0.429,12.0,12.0,-0.366
3.0,3.0,75,10,0.0,-1.0,0.0,9.0,9.0,0.0
3.0,3.0,80,9,11.11,-0.556,0.375,6.0,6.0,-0.417
3.0,3.0,85,8,25.0,0.0,1.0,3.0,3.0,0.0
3.0,3.0,90,5,20.0,-0.2,0.75,2.0,2.0,-0.112
