regime,session,cooldown,atr_filter,direction,total_trades,win_rate,profit_factor,expectancy,max_drawdown_r,sharpe
HIGH_VOLATILITY_ONLY,LONDON_ONLY,12,MID_ONLY,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_ONLY,12,MID_ONLY,SELL_ONLY,2,50.0,2.5,0.75,0.0,0.303
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,ALL,BOTH,15,40.0,1.667,0.4,4.0,0.225
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,ALL,BUY_ONLY,2,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,ALL,SELL_ONLY,13,30.77,1.111,0.077,6.0,0.046
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,MID_ONLY,BOTH,7,57.14,3.333,1.0,2.0,0.535
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,MID_ONLY,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,0,MID_ONLY,SELL_ONLY,6,50.0,2.5,0.75,2.0,0.391
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,3,ALL,BOTH,15,40.0,1.667,0.4,4.0,0.225
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,3,ALL,BUY_ONLY,2,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,3,ALL,SELL_ONLY,13,30.77,1.111,0.077,6.0,0.046
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,3,MID_ONLY,BOTH,7,57.14,3.333,1.0,2.0,0.535
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,3,MID_ONLY,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,3,MID_ONLY,SELL_ONLY,6,50.0,2.5,0.75,2.0,0.391
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,6,ALL,BOTH,15,40.0,1.667,0.4,4.0,0.225
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,6,ALL,BUY_ONLY,2,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,6,ALL,SELL_ONLY,13,30.77,1.111,0.077,6.0,0.046
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,6,MID_ONLY,BOTH,7,57.14,3.333,1.0,2.0,0.535
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,6,MID_ONLY,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,6,MID_ONLY,SELL_ONLY,6,50.0,2.5,0.75,2.0,0.391
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,12,ALL,BOTH,14,42.86,1.875,0.5,4.0,0.278
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,12,ALL,BUY_ONLY,2,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,12,ALL,SELL_ONLY,12,33.33,1.25,0.167,5.0,0.097
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,12,MID_ONLY,BOTH,7,57.14,3.333,1.0,2.0,0.535
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,12,MID_ONLY,BUY_ONLY,1,100.0,inf,2.5,0.0,0.0
HIGH_VOLATILITY_ONLY,LONDON_AND_NY,12,MID_ONLY,SELL_ONLY,6,50.0,2.5,0.75,2.0,0.391
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,0,ALL,BOTH,331,34.14,1.296,0.195,24.5,0.117
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,0,ALL,BUY_ONLY,149,39.6,1.639,0.386,13.5,0.225
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,0,ALL,SELL_ONLY,187,28.88,1.015,0.011,26.5,0.007
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,0,MID_ONLY,BOTH,246,33.74,1.273,0.181,18.5,0.109
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,0,MID_ONLY,BUY_ONLY,111,40.54,1.705,0.419,10.5,0.243
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,0,MID_ONLY,SELL_ONLY,136,27.94,0.969,-0.022,17.0,-0.014
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,3,ALL,BOTH,329,34.35,1.308,0.202,23.5,0.121
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,3,ALL,BUY_ONLY,149,39.6,1.639,0.386,13.5,0.225
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,3,ALL,SELL_ONLY,186,29.03,1.023,0.016,25.5,0.01
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,3,MID_ONLY,BOTH,244,34.02,1.289,0.191,16.5,0.115
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,3,MID_ONLY,BUY_ONLY,111,40.54,1.705,0.419,10.5,0.243
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,3,MID_ONLY,SELL_ONLY,136,27.94,0.969,-0.022,17.0,-0.014
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,6,ALL,BOTH,327,34.25,1.302,0.199,23.5,0.119
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,6,ALL,BUY_ONLY,149,39.6,1.639,0.386,13.5,0.225
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,6,ALL,SELL_ONLY,186,29.03,1.023,0.016,25.5,0.01
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,6,MID_ONLY,BOTH,242,33.88,1.281,0.186,16.5,0.112
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,6,MID_ONLY,BUY_ONLY,111,40.54,1.705,0.419,10.5,0.243
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,6,MID_ONLY,SELL_ONLY,136,27.94,0.969,-0.022,17.0,-0.014
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,12,ALL,BOTH,320,34.69,1.328,0.214,20.5,0.128
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,12,ALL,BUY_ONLY,148,39.19,1.611,0.372,13.5,0.217
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,12,ALL,SELL_ONLY,182,29.67,1.055,0.038,22.5,0.024
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,12,MID_ONLY,BOTH,239,34.31,1.306,0.201,15.5,0.121
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,12,MID_ONLY,BUY_ONLY,110,40.0,1.667,0.4,10.5,0.232
TRENDING_UP_DOWN_AND_RISING_ADX,ALL,12,MID_ONLY,SELL_ONLY,134,27.61,0.954,-0.034,17.0,-0.021
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,0,ALL,BOTH,51,23.53,0.769,-0.176,15.5,-0.118
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,0,ALL,BUY_ONLY,16,43.75,1.944,0.531,2.0,0.296
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,0,ALL,SELL_ONLY,35,14.29,0.417,-0.5,16.5,-0.402
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,0,MID_ONLY,BOTH,38,26.32,0.893,-0.079,12.0,-0.051
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,0,MID_ONLY,BUY_ONLY,15,46.67,2.188,0.633,2.0,0.35
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,0,MID_ONLY,SELL_ONLY,23,13.04,0.375,-0.543,13.0,-0.451
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,ALL,BOTH,51,23.53,0.769,-0.176,15.5,-0.118
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,ALL,BUY_ONLY,16,43.75,1.944,0.531,2.0,0.296
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,ALL,SELL_ONLY,35,14.29,0.417,-0.5,16.5,-0.402
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,MID_ONLY,BOTH,38,26.32,0.893,-0.079,12.0,-0.051
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,MID_ONLY,BUY_ONLY,15,46.67,2.188,0.633,2.0,0.35
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,3,MID_ONLY,SELL_ONLY,23,13.04,0.375,-0.543,13.0,-0.451
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,ALL,BOTH,51,23.53,0.769,-0.176,15.5,-0.118
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,ALL,BUY_ONLY,16,43.75,1.944,0.531,2.0,0.296
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,ALL,SELL_ONLY,35,14.29,0.417,-0.5,16.5,-0.402
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,MID_ONLY,BOTH,38,26.32,0.893,-0.079,12.0,-0.051
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,MID_ONLY,BUY_ONLY,15,46.67,2.188,0.633,2.0,0.35
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,6,MID_ONLY,SELL_ONLY,23,13.04,0.375,-0.543,13.0,-0.451
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,ALL,BOTH,49,24.49,0.811,-0.143,14.5,-0.094
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,ALL,BUY_ONLY,16,43.75,1.944,0.531,2.0,0.296
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,ALL,SELL_ONLY,33,15.15,0.446,-0.47,15.5,-0.369
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,MID_ONLY,BOTH,38,26.32,0.893,-0.079,12.0,-0.051
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,MID_ONLY,BUY_ONLY,15,46.67,2.188,0.633,2.0,0.35
TRENDING_UP_DOWN_AND_RISING_ADX,NY_ONLY,12,MID_ONLY,SELL_ONLY,23,13.04,0.375,-0.543,13.0,-0.451
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,ALL,BOTH,39,30.77,1.111,0.077,9.0,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,ALL,BUY_ONLY,13,30.77,1.111,0.077,5.0,0.046
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,ALL,SELL_ONLY,26,30.77,1.111,0.077,5.5,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,MID_ONLY,BOTH,30,33.33,1.25,0.167,5.5,0.099
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,MID_ONLY,BUY_ONLY,10,40.0,1.667,0.4,3.0,0.221
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,0,MID_ONLY,SELL_ONLY,20,30.0,1.071,0.05,4.0,0.03
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,ALL,BOTH,39,30.77,1.111,0.077,9.0,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,ALL,BUY_ONLY,13,30.77,1.111,0.077,5.0,0.046
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,ALL,SELL_ONLY,26,30.77,1.111,0.077,5.5,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,MID_ONLY,BOTH,30,33.33,1.25,0.167,5.5,0.099
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,MID_ONLY,BUY_ONLY,10,40.0,1.667,0.4,3.0,0.221
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,3,MID_ONLY,SELL_ONLY,20,30.0,1.071,0.05,4.0,0.03
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,ALL,BOTH,38,31.58,1.154,0.105,9.0,0.064
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,ALL,BUY_ONLY,13,30.77,1.111,0.077,5.0,0.046
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,ALL,SELL_ONLY,26,30.77,1.111,0.077,5.5,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,MID_ONLY,BOTH,30,33.33,1.25,0.167,5.5,0.099
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,MID_ONLY,BUY_ONLY,10,40.0,1.667,0.4,3.0,0.221
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,6,MID_ONLY,SELL_ONLY,20,30.0,1.071,0.05,4.0,0.03
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,ALL,BOTH,38,31.58,1.154,0.105,9.0,0.064
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,ALL,BUY_ONLY,13,30.77,1.111,0.077,5.0,0.046
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,ALL,SELL_ONLY,26,30.77,1.111,0.077,5.5,0.047
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,MID_ONLY,BOTH,29,31.03,1.125,0.086,7.5,0.052
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,MID_ONLY,BUY_ONLY,10,40.0,1.667,0.4,3.0,0.221
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_ONLY,12,MID_ONLY,SELL_ONLY,20,30.0,1.071,0.05,4.0,0.03
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,ALL,BOTH,154,30.52,1.098,0.068,12.5,0.042
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,ALL,BUY_ONLY,54,40.74,1.719,0.426,8.0,0.245
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,ALL,SELL_ONLY,100,25.0,0.833,-0.125,16.5,-0.082
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,MID_ONLY,BOTH,113,31.86,1.169,0.115,10.5,0.07
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,MID_ONLY,BUY_ONLY,42,42.86,1.875,0.5,6.0,0.285
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,0,MID_ONLY,SELL_ONLY,71,25.35,0.849,-0.113,9.5,-0.073
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,ALL,BOTH,153,30.72,1.108,0.075,12.5,0.046
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,ALL,BUY_ONLY,54,40.74,1.719,0.426,8.0,0.245
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,ALL,SELL_ONLY,99,25.25,0.845,-0.116,16.0,-0.076
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,MID_ONLY,BOTH,113,31.86,1.169,0.115,10.5,0.07
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,MID_ONLY,BUY_ONLY,42,42.86,1.875,0.5,6.0,0.285
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,3,MID_ONLY,SELL_ONLY,71,25.35,0.849,-0.113,9.5,-0.073
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,ALL,BOTH,152,30.26,1.085,0.059,12.5,0.037
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,ALL,BUY_ONLY,54,40.74,1.719,0.426,8.0,0.245
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,ALL,SELL_ONLY,98,24.49,0.811,-0.143,16.0,-0.094
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,MID_ONLY,BOTH,113,31.86,1.169,0.115,10.5,0.07
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,MID_ONLY,BUY_ONLY,42,42.86,1.875,0.5,6.0,0.285
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,6,MID_ONLY,SELL_ONLY,71,25.35,0.849,-0.113,9.5,-0.073
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,ALL,BOTH,149,30.87,1.117,0.081,12.5,0.05
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,ALL,BUY_ONLY,54,40.74,1.719,0.426,8.0,0.245
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,ALL,SELL_ONLY,96,25.0,0.833,-0.125,15.0,-0.082
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,MID_ONLY,BOTH,111,31.53,1.151,0.104,10.5,0.063
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,MID_ONLY,BUY_ONLY,42,42.86,1.875,0.5,6.0,0.285
TRENDING_UP_DOWN_AND_RISING_ADX,LONDON_AND_NY,12,MID_ONLY,SELL_ONLY,68,25.0,0.833,-0.125,9.5,-0.082
